screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,30,exclude,group 23,0,0.99,0.99,1.14162e-09,1,at upper bound
upper-bound,30,exclude,group 29,0,0.271785,0.99,0.718215,0,
upper-bound,31,exclude,group 1,0,0.251005,0.99,0.738995,0,
upper-bound,31,exclude,group 6,0,0.676585,0.99,0.313415,0,
upper-bound,31,exclude,group 7,1,0.665577,0.99,0.324423,0,
upper-bound,31,exclude,group 10,1,0.57687,0.99,0.41313,0,
upper-bound,31,exclude,group 13,0,0.564768,0.99,0.425232,0,
upper-bound,31,exclude,group 14,1,0.501764,0.99,0.488236,0,
upper-bound,31,exclude,group 17,1,0.750543,0.99,0.239457,0,
upper-bound,31,exclude,group 18,1,0.877616,0.99,0.112384,0,
upper-bound,31,exclude,group 19,0,0.631261,0.99,0.358739,0,
upper-bound,31,exclude,group 20,0,0.134705,0.99,0.855295,0,
upper-bound,31,exclude,group 23,0,0.99,0.99,1.62273e-09,1,at upper bound
upper-bound,31,exclude,group 29,0,0.179314,0.99,0.810686,0,
upper-bound,32,include,group 1,0,0.22797,0.99,0.76203,0,
upper-bound,32,include,group 6,0,0.407073,0.99,0.582927,0,
upper-bound,32,include,group 7,1,0.526768,0.99,0.463232,0,
upper-bound,32,include,group 10,1,0.58897,0.99,0.40103,0,
upper-bound,32,include,group 13,0,0.971643,0.99,0.0183567,0,
upper-bound,32,include,group 14,1,0.502206,0.99,0.487794,0,
upper-bound,32,include,group 17,1,0.81392,0.99,0.17608,0,
upper-bound,32,include,group 18,1,0.851722,0.99,0.138278,0,
upper-bound,32,include,group 19,0,0.58501,0.99,0.40499,0,
upper-bound,32,include,group 20,0,0.161158,0.99,0.828842,0,
upper-bound,32,include,group 23,0,0.99,0.99,8.07861e-09,1,at upper bound
upper-bound,32,include,group 29,0,0.144426,0.99,0.845574,0,
upper-bound,33,include,group 1,0,0.284437,0.99,0.705563,0,
upper-bound,33,include,group 6,0,0.452546,0.99,0.537454,0,
upper-bound,33,include,group 7,1,0.525873,0.99,0.464127,0,
upper-bound,33,include,group 10,1,0.586169,0.99,0.403831,0,
upper-bound,33,include,group 13,0,0.757296,0.99,0.232704,0,
upper-bound,33,include,group 14,1,0.501146,0.99,0.488854,0,
upper-bound,33,include,group 17,1,0.800781,0.99,0.189219,0,
upper-bound,33,include,group 18,1,0.887442,0.99,0.102558,0,
upper-bound,33,include,group 19,0,0.817936,0.99,0.172064,0,
upper-bound,33,include,group 20,0,0.186072,0.99,0.803928,0,
upper-bound,33,include,group 23,0,0.99,0.99,1.59117e-09,1,at upper bound
upper-bound,33,include,group 29,0,0.133592,0.99,0.856408,0,
upper-bound,34,include,group 1,0,0.231418,0.99,0.758582,0,
upper-bound,34,include,group 6,0,0.337289,0.99,0.652711,0,
upper-bound,34,include,group 7,1,0.528316,0.99,0.461684,0,
upper-bound,34,include,group 10,1,0.550396,0.99,0.439604,0,
upper-bound,34,include,group 13,0,0.448746,0.99,0.541254,0,
upper-bound,34,include,group 14,1,0.503455,0.99,0.486545,0,
upper-bound,34,include,group 17,1,0.691767,0.99,0.298233,0,
upper-bound,34,include,group 18,1,0.704742,0.99,0.285258,0,
