member_id,arm,K,group_id,n_in_window,n_recaptured,psi
68,exclude,0.25,2,0.0,0.0,
68,exclude,0.25,17,758.0,3467.0,0.21863282376694548
68,exclude,0.25,18,1010.0,3117.0,0.32402951555983317
68,exclude,0.25,14,4.0,6.0,0.6666666666666666
68,exclude,0.25,13,115.0,129.0,0.8914728682170543
68,exclude,0.25,16,0.0,0.0,
68,exclude,0.25,23,206.0,372.0,0.553763440860215
68,exclude,0.25,19,1.0,59.0,0.01694915254237288
68,exclude,0.25,20,0.0,10.0,0.0
68,exclude,0.25,29,18.0,18.0,1.0
69,exclude,0.35,7,320.0,322.0,0.9937888198757764
69,exclude,0.35,10,121.0,298.0,0.40604026845637586
69,exclude,0.35,6,45.0,47.0,0.9574468085106383
69,exclude,0.35,1,91.0,414.0,0.21980676328502416
69,exclude,0.35,11,0.0,0.0,
69,exclude,0.35,2,0.0,0.0,
69,exclude,0.35,17,452.0,3467.0,0.13037207960773003
69,exclude,0.35,18,444.0,3117.0,0.1424446583253128
69,exclude,0.35,14,3.0,6.0,0.5
69,exclude,0.35,13,114.0,129.0,0.8837209302325582
69,exclude,0.35,16,0.0,0.0,
69,exclude,0.35,23,206.0,372.0,0.553763440860215
69,exclude,0.35,19,1.0,59.0,0.01694915254237288
69,exclude,0.35,20,0.0,10.0,0.0
69,exclude,0.35,29,18.0,18.0,1.0
70,exclude,0.3,7,320.0,322.0,0.9937888198757764
70,exclude,0.3,10,121.0,298.0,0.40604026845637586
70,exclude,0.3,6,45.0,47.0,0.9574468085106383
70,exclude,0.3,1,91.0,414.0,0.21980676328502416
70,exclude,0.3,11,0.0,0.0,
70,exclude,0.3,2,0.0,0.0,
70,exclude,0.3,17,458.0,3467.0,0.1321026824343813
70,exclude,0.3,18,477.0,3117.0,0.1530317613089509
70,exclude,0.3,14,3.0,6.0,0.5
70,exclude,0.3,13,114.0,129.0,0.8837209302325582
70,exclude,0.3,16,0.0,0.0,
70,exclude,0.3,23,206.0,372.0,0.553763440860215
70,exclude,0.3,19,1.0,59.0,0.01694915254237288
70,exclude,0.3,20,0.0,10.0,0.0
70,exclude,0.3,29,18.0,18.0,1.0
71,include,0.25,7,320.0,322.0,0.9937888198757764
71,include,0.25,10,175.0,298.0,0.587248322147651
71,include,0.25,6,45.0,47.0,0.9574468085106383
71,include,0.25,1,132.0,414.0,0.3188405797101449
71,include,0.25,11,0.0,0.0,
71,include,0.25,2,0.0,0.0,
71,include,0.25,17,758.0,3467.0,0.21863282376694548
71,include,0.25,18,1010.0,3117.0,0.32402951555983317
71,include,0.25,14,4.0,6.0,0.6666666666666666
71,include,0.25,13,115.0,129.0,0.8914728682170543
71,include,0.25,16,0.0,0.0,
71,include,0.25,23,206.0,372.0,0.553763440860215
71,include,0.25,19,1.0,59.0,0.01694915254237288
71,include,0.25,20,0.0,10.0,0.0
71,include,0.25,29,18.0,18.0,1.0
72,exclude,0.2,7,320.0,322.0,0.9937888198757764
72,exclude,0.2,10,175.0,298.0,0.587248322147651
72,exclude,0.2,6,45.0,47.0,0.9574468085106383
72,exclude,0.2,1,162.0,414.0,0.391304347826087
72,exclude,0.2,11,0.0,0.0,
72,exclude,0.2,2,0.0,0.0,
72,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
72,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
72,exclude,0.2,14,5.0,6.0,0.8333333333333334
72,exclude,0.2,13,116.0,129.0,0.8992248062015504
72,exclude,0.2,16,0.0,0.0,
72,exclude,0.2,23,285.0,372.0,0.7661290322580645
72,exclude,0.2,19,5.0,59.0,0.0847457627118644
72,exclude,0.2,20,0.0,10.0,0.0
72,exclude,0.2,29,18.0,18.0,1.0
73,exclude,0.2,7,320.0,322.0,0.9937888198757764
73,exclude,0.2,10,175.0,298.0,0.587248322147651
73,exclude,0.2,6,45.0,47.0,0.9574468085106383
73,exclude,0.2,1,162.0,414.0,0.391304347826087
73,exclude,0.2,11,0.0,0.0,
73,exclude,0.2,2,0.0,0.0,
73,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
73,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
73,exclude,0.2,14,5.0,6.0,0.8333333333333334
73,exclude,0.2,13,116.0,129.0,0.8992248062015504
73,exclude,0.2,16,0.0,0.0,
73,exclude,0.2,23,285.0,372.0,0.7661290322580645
73,exclude,0.2,19,5.0,59.0,0.0847457627118644
73,exclude,0.2,20,0.0,10.0,0.0
73,exclude,0.2,29,18.0,18.0,1.0
74,include,0.2,7,320.0,322.0,0.9937888198757764
74,include,0.2,10,175.0,298.0,0.587248322147651
74,include,0.2,6,45.0,47.0,0.9574468085106383
74,include,0.2,1,162.0,414.0,0.391304347826087
74,include,0.2,11,0.0,0.0,
74,include,0.2,2,0.0,0.0,
74,include,0.2,17,1210.0,3467.0,0.3490049033746755
